name,supplier,category,date,price,notes,waspaid
ביטוח שנתי,הפניקס,מנהלי,01/01/2022,4832,,TRUE
מלאי כוסות,אולסייטל טריידינג,כוסות,04/01/2022,343,לואו בול,TRUE
שכירות,אלי גלעד,שכירות,06/01/2022,3744,ינואר,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,09/01/2022,124,,TRUE
תעודת כשרות,צהר,מנהלי,15/01/2022,421,דצמבר,TRUE
מנוי לחשבונית ירוקה,חשבונית ירוקה,מנהלי,17/01/2022,337,שנתי,TRUE
שיווק דיגיטלי,דוד וטין,פרסום,20/01/2022,2750,עבור ינואר,TRUE
קמפיין גוגל,גוגל,פרסום,25/01/2022,1500,,TRUE
ביטוח לאומי,ביטוח לאומי,ערייה וממשלה,29/01/2022,123,,TRUE
ציוד עבודה,טמבוריה קרית אונו,לוגיסטיקה,30/01/2022,30,,TRUE
שכירות,אלי גלעד,שכירות,06/02/2022,3744,פברואר,TRUE
יום טעימות,מגה,מזון ומשקאות,08/02/2022,36,,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,09/02/2022,900,,TRUE
צנצנות זכוכית,הסטוק בת ים,לוגיסטיקה,09/02/2022,75,,TRUE
בקבוקי זכוכית,"ישר אריזה בעמ",לוגיסטיקה,13/02/2022,147,,TRUE
ציוד מחסן,הספקה לתעשייה,לוגיסטיקה,15/02/2022,100,,TRUE
ציוד מחסן,הום סנטר,לוגיסטיקה,15/02/2022,250,שולחן מתקפל + ציוד למחסן,TRUE
תעודת כשרות,צהר,מנהלי,15/02/2022,702,ינואר,TRUE
מלאי,טמפו,מלאי,15/02/2022,982,ג'ין,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,21/02/2022,1000,,TRUE
מסגרות לתפריטים,הכל בדולר,לוגיסטיקה,24/02/2022,30,,TRUE
דקורציה,אולסייטל טריידינג,לוגיסטיקה,27/02/2022,70,,TRUE
יום טעימות,אושר עד,מזון ומשקאות,01/03/2022,70,,TRUE
תדלוק,ביילסול,דלק,04/03/2022,200,רכב של יהודית,TRUE
שכירות,אלי גלעד,שכירות,06/03/2022,3744,מרץ,TRUE
צידניות,הכל בו לתעשייה,לוגיסטיקה,06/03/2022,700,,TRUE
מלאי כוסות,אולסייטל טריידינג,כוסות,07/03/2022,583,הייבול + סניפטר,TRUE
קמפיין גוגל,גוגל,פרסום,07/03/2022,1664,פברואר,TRUE
קרח,אייס קיובס,קרח,07/03/2022,360,30 שקים,TRUE
מיץ לימון,סחוטים,מיץ לימון,08/03/2022,276,,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,09/03/2022,378,,TRUE
צנצנות זכוכית,הסטוק אור יהודה,לוגיסטיקה,10/03/2022,119,,TRUE
מסגרות לתפריטים + ברנר,הכל בדולר,לוגיסטיקה,10/03/2022,65,,TRUE
לבוש לברמנים,מדים זיוה,לוגיסטיקה,10/03/2022,150,,TRUE
מלאי,שימורי איכות,מלאי,10/03/2022,1543,,TRUE
מלאי,היבואן,מלאי,10/03/2022,3133,,TRUE
מלאי,טמפו,מלאי,10/03/2022,1822,,TRUE
מלאי,דרך היין,מלאי,14/03/2022,560,,TRUE
תעודת כשרות,צהר,מנהלי,15/03/2022,702,פברואר,TRUE
מלאי,היבואן,מלאי,15/03/2022,2971,,TRUE
מלאי,שימורי איכות,מלאי,15/03/2022,163,,TRUE
מלאי,"כלבו מרקט רויזנבסר אלכסנדר. שלמה 75 ת""א",מלאי,15/03/2022,130,ערק חירום,TRUE
קרח,אייס קיובס,קרח,15/03/2022,300,25 שקים,TRUE
