eventNumber,productName,bottlesUsed,TotalAmount,totalML,amountPerGuest
28,ביפיאטר,2.0,170.0,1400.0,17.5
28,בלוגה,1.0,148.0,1000.0,12.5
28,גיבסונס,5.0,400.0,5000.0,62.5
28,גרייגוס,1.0,143.0,1000.0,12.5
28,ליקר טריפל סק בנימינה,1.0,50.0,700.0,8.8
28,סקיי,6.0,360.0,3600.0,45.0
28,פטרון סילבר,2.0,330.0,2000.0,25.0
28,קוארבו סילבר,1.0,124.0,1000.0,12.5
28,קריביקה,1.0,52.0,700.0,8.8
53,גיבסונס,6.0,480.0,6000.0,30.0
53,גלנליווט פאונדרס,2.0,318.0,1400.0,7.0
53,ערק עלית,1.0,57.0,700.0,3.5
53,פינלנדיה,1.0,87.0,1000.0,5.0
53,קאווה,1.0,26.0,700.0,3.5
53,קוארבו סילבר,1.0,124.0,1000.0,5.0
53,קריביקה,2.0,104.0,1400.0,7.0
54,אוזו מיני,3.0,210.0,2100.0,21.0
54,אפרול ליטר,2.0,135.0,2000.0,20.0
54,בלאק לייבל,1.0,149.0,1000.0,10.0
54,גיבסונס,3.0,240.0,3000.0,30.0
54,ליקר טריפל סק בנימינה,1.0,50.0,700.0,7.0
54,ערק אשקלון,1.0,60.0,700.0,7.0
54,ערק עלית,4.0,228.0,2800.0,28.0
54,פינלנדיה,1.0,87.0,1000.0,10.0
54,קוארבו סילבר,3.0,372.0,3000.0,30.0
54,קמפרי,1.0,85.0,1000.0,10.0
54,קפטן מורגן ספייס,1.0,70.0,700.0,7.0
54,קריביקה,2.0,104.0,1400.0,14.0
62,אוזו מיני,2.0,140.0,1400.0,4.7
62,אפרול ליטר,4.0,269.0,4000.0,13.3
62,בומביי ליטר,2.0,260.0,2000.0,6.7
62,ג'יימסון,1.0,120.0,1000.0,3.3
62,ג'ים בים,2.0,255.0,2000.0,6.7
62,ג'ק דניאלס,1.0,139.0,1000.0,3.3
62,ג'ק דניאלס דבש,1.0,140.0,700.0,2.3
62,גיבסונס,9.0,720.0,9000.0,30.0
62,גלנליווט פאונדרס,4.0,636.0,2800.0,9.3
62,וואן גוך ליטר,2.0,270.0,2000.0,6.7
62,טנקרי,2.0,290.0,2000.0,6.7
62,יין לבן,13.0,364.0,9750.0,32.5
62,מקאלן 12,5.0,1675.0,3500.0,11.7
62,ערק עלית,11.0,627.0,7700.0,25.7
62,פינלנדיה,5.0,437.0,5000.0,16.7
62,קאווה,13.0,335.0,9100.0,30.3
62,קוארבו סילבר,2.0,248.0,2000.0,6.7
62,קמפרי,2.0,170.0,2000.0,6.7
62,קריביקה,3.0,156.0,2100.0,7.0
69,בומביי ליטר,3.0,390.0,3000.0,30.0
69,בלאק לייבל,1.0,149.0,1000.0,10.0
69,גורדונס 700,2.0,132.0,1400.0,14.0
69,גיבסונס,2.0,160.0,2000.0,20.0
69,וואן גוך ליטר,1.0,135.0,1000.0,10.0
69,ליקר טריפל סק בנימינה,1.0,50.0,700.0,7.0
69,ערק עלית,2.0,114.0,1400.0,14.0
69,פינלנדיה,1.0,87.0,1000.0,10.0
69,קוארבו סילבר,5.0,620.0,5000.0,50.0
69,קמפרי,2.5,213.0,2500.0,25.0
69,קריביקה,3.0,156.0,2100.0,21.0
72,אפרול ליטר,1.0,67.0,1000.0,6.7
72,בומביי ליטר,2.0,260.0,2000.0,13.3
72,גיבסונס,7.0,560.0,7000.0,46.7
72,גרייגוס,1.0,143.0,1000.0,6.7
72,טנקרי,1.0,145.0,1000.0,6.7
72,יין לבן,7.0,196.0,5250.0,35.0
72,ערק עלית,3.0,171.0,2100.0,14.0
72,קאווה,4.0,103.0,2800.0,18.7
72,קוארבו סילבר,2.0,248.0,2000.0,13.3
72,קמפרי,3.0,255.0,3000.0,20.0
72,קריביקה,4.0,208.0,2800.0,18.7
111,אפרול ליטר,1.0,67.0,1000.0,12.5
111,ביפיאטר,2.0,170.0,1400.0,17.5
111,ג'יימסון,1.0,120.0,1000.0,12.5
111,גיבסונס,2.0,160.0,2000.0,25.0
111,ערק עלית,1.0,57.0,700.0,8.8
111,קוארבו סילבר,1.0,124.0,1000.0,12.5
111,קמפרי,1.0,85.0,1000.0,12.5
111,קריביקה,1.0,52.0,700.0,8.8
117,גורדונס 700,1.0,66.0,700.0,2.3
