eventNumber,הכנסות,iceExpense,totalAlcoholExpenses,totalWages,totalGeneralExpenses,totalExpenses,profit,carType
1,2000.0,0.0,200.0,0,761.0,961.0,1039.0,transporter
4,4400.0,0.0,340.0,0,621.0,961.0,3439.0,transporter
10,4500.0,0.0,570.0,500,255.0,1325.0,3175.0,transporter
18,8190.0,0.0,435.0,500,304.0,1239.0,6951.0,transporter
20,7605.0,0.0,640.0,1400,649.0,2689.0,4916.0,transporter
21,5000.0,0.0,600.0,500,120.0,1220.0,3780.0,transporter
23,4000.0,0.0,200.0,400,290.0,890.0,3110.0,transporter
24,3000.0,0.0,280.0,0,150.0,430.0,2570.0,transporter
27,7605.0,0.0,800.0,800,110.0,1710.0,5895.0,transporter
28,10500.0,0.0,1921.0,1000,349.0,3270.0,7230.0,transporter
31,2000.0,0.0,120.0,0,110.0,230.0,1770.0,transporter
35,7000.0,0.0,300.0,400,240.0,940.0,6060.0,transporter
36,15000.0,0.0,2200.0,1600,440.0,4240.0,10760.0,transporter
38,9945.0,0.0,620.0,900,150.0,1670.0,8275.0,transporter
40,6000.0,0.0,320.0,500,160.0,980.0,5020.0,transporter
42,5500.0,0.0,500.0,0,150.0,650.0,4850.0,transporter
50,5000.0,0.0,780.0,900,80.0,1760.0,3240.0,transporter
51,4500.0,0.0,400.0,900,150.0,1450.0,3050.0,transporter
53,17900.0,600.0,2385.0,2500,2646.0,8131.0,9769.0,transporter
54,7000.0,0.0,1900.0,800,473.0,3173.0,3827.0,transporter
58,5500.0,0.0,550.0,1000,231.0,1781.0,3719.0,transporter
62,21762.0,420.0,6800.0,2250,870.0,10340.0,11422.0,transporter
65,4500.0,24.0,700.0,400,100.0,1200.0,3300.0,transporter
69,8500.0,180.0,2331.5,2250,691.0,5452.5,3047.5,transporter
72,15040.0,720.0,2617.0,2350,3000.0,7967.0,7073.0,transporter
98,6435.0,0.0,700.0,500,150.0,1350.0,5085.0,transporter
104,5500.0,0.0,1200.0,1000,300.0,2500.0,3000.0,transporter
105,4000.0,0.0,100.0,0,65.0,165.0,3835.0,transporter
107,9000.0,0.0,1000.0,1400,230.0,2630.0,6370.0,transporter
110,5850.0,0.0,800.0,500,120.0,1420.0,4430.0,transporter
111,10800.0,0.0,1025.0,900,115.0,2040.0,8760.0,transporter
116,2000.0,0.0,150.0,0,110.0,260.0,1740.0,transporter
117,5200.0,110.0,405.0,650,192.0,1357.0,3843.0,transporter
118,7000.0,0.0,365.0,950,320.0,1635.0,5365.0,transporter
120,5850.0,0.0,800.0,900,120.0,1820.0,4030.0,transporter
