label,superCategory,volumeMl,supplier,notes,netPrice,defaultforWork
קוקה קולה רגיל 1.5 ליטר,SOFT_DRINKS,,הניידים,שישייה,42.37, FALSE 
קוקה קולה זירו 1.5 ליטר,SOFT_DRINKS,,הניידים,שישייה,42.37, FALSE 
ספרייט רגיל 1.5 ליטר,SOFT_DRINKS,,הניידים,שישייה,42.37, FALSE 
ספרייט זירו 1.5 ליטר,SOFT_DRINKS,,הניידים,שישייה,42.37, FALSE 
סודה טמפו 1.5 ליטר,SOFT_DRINKS,,הניידים,שישייה,19.49, FALSE 
מי טוניק טמפו 1.5 ליטר,SOFT_DRINKS,,הניידים,ארגז(12 יח'),139.00, FALSE 
מים עין גדי,SOFT_DRINKS,,הניידים,שישייה,14.32, FALSE 
תפוזינה לימונענע 1.5 ליטר,SOFT_DRINKS,,הניידים,ארגז(12 יח'),85.00, FALSE 
תפוזינה תפוזים 1.5 ליטר,SOFT_DRINKS,,הניידים,ארגז(12 יח'),85.00, FALSE 
נקטר חמוציות 1.25 ליטר,SOFT_DRINKS,,הניידים,ארגז 12 יחידות,114.41, FALSE 
אננס גובר 2 ליטר,SOFT_DRINKS,,הניידים,ארגז 6 בקבוקים,76.27, FALSE 
"סאן פלגרינו זכוכית 750 מ""ל",SOFT_DRINKS,,הניידים,זכוכית 12 בקבוקים,101.69, FALSE 
סאן בנדיטו 1 ליטר  זכוכית,SOFT_DRINKS,,הניידים,זכוכית 12 בקבוקים,81.36, FALSE 
"קוקה קולה 350 מ""ל זכוכית",SOFT_DRINKS,,הניידים,מגש 24 יח',110.00, FALSE 
"קולה זירו 350 מ""ל זכוכית",SOFT_DRINKS,,הניידים,מגש 24 יח',110.00, FALSE 
"ספרייט 350 מ""ל זכוכית",SOFT_DRINKS,,הניידים,מגש 24 יח',110.00, FALSE 
"ספרייט זירו 350 מ""ל",SOFT_DRINKS,,הניידים,מגש 24 יח',110.00, FALSE 
ג'ומקס  אננס 12 יחידות פחית,SOFT_DRINKS,,הניידים,"פחית 473 מ""ל 12 יחידות",0.00, FALSE 
"בירה קרלסברג פחית 500 מ""ל",ALCOHOL,,הניידים,משטח 24 פחיות,148.00, FALSE 
"בירה סטלה פחית 500 מ""ל",ALCOHOL,,הניידים,משטח 24 פחיות,148.00, FALSE 
"בירה גולדסטאר פחית 500 מ""ל",ALCOHOL,,הניידים,משטח 24 פחיות,148.00, FALSE 
בלו אנרגיה,ALCOHOL,,הניידים,מגש,55.08, FALSE 
יין לבן מדבר 22 שרדונה,ALCOHOL,750,הניידים,ארגז 12 יח',339.00, FALSE 
יין אדום מדבר 22 קברנה,ALCOHOL,750,הניידים,ארגז 12 יח',339.00, FALSE 
קאווה,ALCOHOL,750,הניידים,ארגז 6 יחי',169.49, FALSE 
עלית הארק,ALCOHOL,700,הניידים,ארגז(12 יח'),670.00, FALSE 
"סוכר סוגת 10 ק""ג",FOOD,,הניידים,חבילה של 10,50.00, FALSE 
שימורי ליצ'י בפחית,FOOD,,הניידים,שימורי ליצ'י 12 יח' בארגז ,0.00, FALSE 
שימורי קוקוס (קרם),FOOD,,הניידים,חבילה 24 פחיות,0.00, FALSE 
שימורי חומוס,FOOD,,הניידים,משטח 12 יח',0.00, FALSE 
"כוכבי אניס 1 ק""ג",FOOD,,הניידים,,0.00, FALSE 
חלב 1 ליטר,GENERAL,,הניידים,,6.78, FALSE 
חלב 1.5 ליטר,GENERAL,,הניידים,,8.47, FALSE 
תחליף חלב בריסטה שקדים,GENERAL,,הניידים,קרטון 1 ליטר חלב שקדים,12.71, FALSE 
תחליף חלב בריסטה שיבולת שועל,GENERAL,,הניידים,קרטון 1 ליטר חלב שיבולת שועל,12.71, FALSE 
כוסות ליקר 50 יח' לשוט,PLASTICS,,הניידים,ארגז 2000 יח' (40 יח' בארגז),160.00, FALSE 
שרוול כוסות לונג 10 יח',PLASTICS,,הניידים,ארגז של 500 כוסות,178.00, FALSE 
כוסות חד פעמי למים פשוטות,PLASTICS,,הניידים,ארגז של 3000 כוסות,72.00, FALSE 
כוס שתייה קרה יהלום,PLASTICS,,הניידים,קרטון של 1000 כוסות,106.00, FALSE 
מטלית הפלא לשיש 5 יח,PLASTICS,,הניידים,קוד פריט ,12.71, FALSE 
שקיות זבל שחורות גדולות (גלילים) ,PLASTICS,,הניידים,ארגז,, FALSE 
קשיות 400 יח' שחור,PLASTICS,,הניידים,קוד פריט ,12.00, FALSE 
קילו קרח,GENERAL,,הניידים,שקים של 5 קילו,2.97, FALSE 
מקפיא,RENTALS,,הניידים,,400.00, FALSE 
"קוקה קולה 350 מ""ל זכוכית",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',125.00, FALSE 
"קולה זירו 350 מ""ל זכוכית",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',125.00, FALSE 
"ספרייט 350 מ""ל זכוכית",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',125.00, FALSE 
"ספרייט זירו 350 מ""ל",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',125.00, FALSE 
"סודה שוופס 250 מ""ל זכוכית",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',70.00, FALSE 
"סן פלגרינו 750 מ""ל זכוכית",SOFT_DRINKS,,מיני-דרינק,מגש 12 יח',125.00, FALSE 
"סן פלגרינו 250 מ""ל זכוכית",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',135.00, FALSE 
"מים אקווה פנה 250 מ""ל",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',139.00, FALSE 
"מים מינרלים מי עדן 500 מ""ל פלסטיק",SOFT_DRINKS,,מיני-דרינק,מגש 24 יח',55.00, FALSE 
כוס לונג דרינג 500 יח' חלבי,PLASTICS,,כפיר-פלסט,,150.00, FALSE 
כוס ליקר 1440 יח' הנמל,PLASTICS,,כפיר-פלסט,,104.00, FALSE 
"כוס בירה 250 סמ""ק 1000 יח'",PLASTICS,,כפיר-פלסט,,90.00, FALSE 
"כוס אל על 180 סמ""ק - 1000 יח'",PLASTICS,,כפיר-פלסט,,170.00, FALSE 
